latitude,longitude,altitude,geometry,previous_dominating_activity,bearing,previous_dominating_activity_confidence,current_dominating_activity,timestamp,created_at,feature,id,speed,route,current_dominating_activity_confidence,accuracy
-6.7440666,39.2782575,,Point,still,0,95,on_foot,2015-12-05T01:44:48+03:00,2015-12-04 22:44:50,passive_tracking,377,0,,41,11
-6.8284809,39.3115356,,Point,still,0,50,,2015-12-05T07:53:39+03:00,2015-12-05 04:53:44,passive_tracking,379,0,,0,15
-6.7534094,39.2822432,,Point,in_vehicle,0,33,on_foot,2015-12-05T08:16:38+03:00,2015-12-05 05:16:48,passive_tracking,380,0,,27,60
-6.7949327,39.208167,,Point,still,0,73,,2015-12-05T09:32:52+03:00,2015-12-05 06:32:59,passive_tracking,381,0,,0,40.5
-6.7712741,39.2556339,,Point,on_bicycle,0,44,,2015-12-05T10:53:09+03:00,2015-12-05 07:53:15,passive_tracking,383,0,,0,45
-6.753974,39.2820455,,Point,still,0,100,in_vehicle,2015-12-05T13:31:06+03:00,2015-12-05 10:31:17,passive_tracking,384,0,,40,24
-6.7565103,39.2868175,,Point,on_foot,0,50,still,2015-12-05T13:46:15+03:00,2015-12-05 10:46:16,passive_tracking,385,0,,84,78.772
-6.7692038,39.2803388,,Point,in_vehicle,0,75,,2015-12-05T15:05:56+03:00,2015-12-05 12:05:59,passive_tracking,386,0,,0,30
-6.7741912,39.2418895,,Point,in_vehicle,0,79,,2015-12-05T15:30:47+03:00,2015-12-05 12:30:52,passive_tracking,387,0,,0,40.5
-6.774185,39.2418444,,Point,still,0,85,,2015-12-05T16:04:37+03:00,2015-12-05 13:04:47,passive_tracking,388,0,,0,36
